Starting...
Gathering coverage... done in 272.996041ms
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:59:29
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:69:50
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:73:19
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:73:41
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:76:28
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:81:47
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:83:63
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:144:15
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:145:37
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:154:28
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:161:43
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:161:36
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:169:22
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render_input.go:180:8
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:180:8
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render_input.go:185:28
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render_input.go:190:8
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:17:9
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:25:9
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:33:28
 NOT COVERED CONDITIONALS_BOUNDARY at cmd/eisenhower/main.go:44:18
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:44:18
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:48:10
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:57:10
 NOT COVERED CONDITIONALS_NEGATION at cmd/eisenhower/main.go:65:9
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:88:12
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:88:12
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:88:26
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:88:26
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:92:12
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:92:12
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:92:26
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:92:26
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:96:12
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:96:12
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:96:26
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:96:26
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:100:12
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:100:12
 NOT COVERED CONDITIONALS_BOUNDARY at domain/matrix/matrix.go:100:26
 NOT COVERED CONDITIONALS_NEGATION at domain/matrix/matrix.go:100:26
      KILLED CONDITIONALS_NEGATION at adapters/ui/render.go:376:9
      KILLED CONDITIONALS_NEGATION at domain/matrix/matrix.go:122:22
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:29:30
 NOT COVERED CONDITIONALS_NEGATION at domain/parser/parser.go:61:64
 NOT COVERED CONDITIONALS_NEGATION at domain/parser/parser.go:71:64
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:37:31
       LIVED CONDITIONALS_BOUNDARY at domain/parser/parser.go:80:19
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:80:19
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:88:18
       LIVED CONDITIONALS_NEGATION at domain/parser/parser.go:90:64
       LIVED CONDITIONALS_BOUNDARY at domain/parser/parser.go:111:20
       LIVED CONDITIONALS_BOUNDARY at domain/parser/parser.go:111:41
       LIVED CONDITIONALS_NEGATION at domain/parser/parser.go:111:20
       LIVED CONDITIONALS_NEGATION at domain/parser/parser.go:111:41
       LIVED CONDITIONALS_BOUNDARY at domain/parser/parser.go:117:19
       LIVED CONDITIONALS_BOUNDARY at domain/parser/parser.go:117:40
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:117:19
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:117:40
       LIVED CONDITIONALS_NEGATION at domain/parser/parser.go:118:19
       LIVED CONDITIONALS_NEGATION at domain/parser/parser.go:124:18
      KILLED INVERT_NEGATIVES at domain/parser/parser.go:133:49
      KILLED ARITHMETIC_BASE at domain/parser/parser.go:133:49
       LIVED CONDITIONALS_BOUNDARY at domain/parser/parser.go:136:17
      KILLED CONDITIONALS_NEGATION at domain/parser/parser.go:136:17
      KILLED CONDITIONALS_NEGATION at domain/todo/todo.go:82:14
 NOT COVERED CONDITIONALS_NEGATION at domain/todo/todo.go:101:14
 NOT COVERED CONDITIONALS_NEGATION at domain/todo/todo.go:104:14
 NOT COVERED CONDITIONALS_NEGATION at domain/todo/todo.go:120:14
 NOT COVERED CONDITIONALS_NEGATION at domain/todo/todo.go:123:14
 NOT COVERED CONDITIONALS_NEGATION at domain/todo/todo.go:139:14
 NOT COVERED CONDITIONALS_NEGATION at domain/todo/todo.go:142:14
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/add_todo.go:27:19
 NOT COVERED CONDITIONALS_NEGATION at usecases/add_todo.go:27:19
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/add_todo.go:27:40
 NOT COVERED CONDITIONALS_NEGATION at usecases/add_todo.go:27:40
 NOT COVERED CONDITIONALS_NEGATION at usecases/add_todo.go:38:9
 NOT COVERED INVERT_NEGATIVES at usecases/add_todo.go:48:51
 NOT COVERED ARITHMETIC_BASE at usecases/add_todo.go:48:51
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/add_todo.go:51:17
 NOT COVERED CONDITIONALS_NEGATION at usecases/add_todo.go:51:17
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/change_priority.go:24:11
 NOT COVERED CONDITIONALS_NEGATION at usecases/change_priority.go:24:11
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/change_priority.go:24:24
 NOT COVERED CONDITIONALS_NEGATION at usecases/change_priority.go:24:24
 NOT COVERED CONDITIONALS_NEGATION at usecases/change_priority.go:30:29
 NOT COVERED CONDITIONALS_NEGATION at usecases/change_priority.go:42:9
      KILLED CONDITIONALS_NEGATION at domain/todo/todo.go:85:14
      KILLED CONDITIONALS_NEGATION at usecases/delete_todo.go:15:9
      KILLED INVERT_NEGATIVES at usecases/inventory.go:43:36
      KILLED ARITHMETIC_BASE at usecases/inventory.go:43:36
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:61:19
      KILLED ARITHMETIC_BASE at usecases/inventory.go:62:49
      KILLED INCREMENT_DECREMENT at usecases/inventory.go:68:23
      KILLED INCREMENT_DECREMENT at usecases/inventory.go:73:27
       LIVED CONDITIONALS_BOUNDARY at usecases/inventory.go:74:17
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:74:17
       LIVED INCREMENT_DECREMENT at usecases/inventory.go:78:28
       LIVED CONDITIONALS_BOUNDARY at usecases/inventory.go:79:17
 NOT COVERED INCREMENT_DECREMENT at usecases/inventory.go:83:28
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/inventory.go:84:17
 NOT COVERED CONDITIONALS_NEGATION at usecases/inventory.go:84:17
 NOT COVERED INCREMENT_DECREMENT at usecases/inventory.go:88:29
 NOT COVERED CONDITIONALS_BOUNDARY at usecases/inventory.go:89:17
 NOT COVERED CONDITIONALS_NEGATION at usecases/inventory.go:89:17
       LIVED CONDITIONALS_NEGATION at usecases/inventory.go:79:17
      KILLED INCREMENT_DECREMENT at usecases/inventory.go:97:27
 NOT COVERED INCREMENT_DECREMENT at usecases/inventory.go:101:28
 NOT COVERED INCREMENT_DECREMENT at usecases/inventory.go:103:29
      KILLED INCREMENT_DECREMENT at usecases/inventory.go:99:28
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:110:17
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:120:17
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:132:60
      KILLED INCREMENT_DECREMENT at usecases/inventory.go:134:32
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:140:19
      KILLED INCREMENT_DECREMENT at usecases/inventory.go:142:27
       LIVED CONDITIONALS_BOUNDARY at usecases/inventory.go:155:12
      KILLED CONDITIONALS_NEGATION at usecases/inventory.go:155:12
